Account,Numberpage,Date,Details,Debit,Credit,Balance
27th November 2025.PDF,1,11 Nov 2025,VDC-HICKEYS PHARMA,,4.50,507.14
27th November 2025.PDF,2,17 Nov 2025,BALANCE FORWARD,,,368.71
27th November 2025.PDF,2,,VDC-DUBLIN ZOO,12.00,,356.71
27th November 2025.PDF,2,18 Nov 2025,VDP-MYIQ.COM/EU,14.99,,
27th November 2025.PDF,2,,VDP-NETFLIX.COM,10.99,,330.73
27th November 2025.PDF,2,20 Nov 2025,V165179435201125NA,,327.00,
27th November 2025.PDF,2,,VDP-BRAZIER SPORTS,30.00,,
27th November 2025.PDF,2,,VDP-BRAZIER SPORTS,60.00,,
27th November 2025.PDF,2,,VDC-CIRCLE K BALRO,30.00,,537.73
27th November 2025.PDF,2,24 Nov 2025,HAP,29.20,,
27th November 2025.PDF,2,,D/D ROYAL LONDON,64.03,,
27th November 2025.PDF,2,,VDC-CIRCLE K M9 KI,50.00,,
27th November 2025.PDF,2,,VDC-DUBLIN AIRPORT,3.00,,
27th November 2025.PDF,2,,VDC-DUNNES CLONDAL,17.85,,373.65
27th November 2025.PDF,2,25 Nov 2025,D/D NAPS LOAN AIB,290.63,,
27th November 2025.PDF,2,,IE25112027312669,83.02,,
27th November 2025.PDF,2,27 Nov 2025,V165179435271125NA,,327.00,
27th November 2025.PDF,2,,VDC-CIRCLE K NEWLA,8.50,,
27th November 2025.PDF,2,,VDC-MR PRICE,9.27,,
27th November 2025.PDF,2,,VDC-NYA*Gough Brot,1.00,,391.25
